"year","date","mean.discharge","median.discharge","mean.gh","median.gh"
2019,2019-02-04,27.2625,27.25,NA,NA
2019,2019-02-05,32.1,32,NA,NA
2019,2019-02-06,37.1927083333333,37.15,NA,NA
2019,2019-02-07,42.6885416666667,42.55,NA,NA
2019,2019-02-08,50.35625,50.35,NA,NA
2019,2019-02-09,60.9604166666667,60.75,NA,NA
2019,2019-02-10,84.4854166666667,84.45,NA,NA
2019,2019-02-11,115.711458333333,117,NA,NA
2019,2019-02-12,137.40625,139,NA,NA
2019,2019-02-13,150.1875,150,6.661,6.66
2019,2019-02-14,132.302083333333,130,6.55,6.535
2019,2019-02-15,117.09375,116,6.45833333333333,6.45
2019,2019-02-16,118.125,119,6.46479166666667,6.47
2019,2019-02-17,107.516666666667,109,6.39697916666667,6.41
2019,2019-02-18,103.15625,103,6.36927083333333,6.37
2019,2019-02-19,95.6458333333333,94.7,6.37645161290323,6.36
2019,2019-02-20,113.270833333333,114,6.42,6.45
2019,2019-02-21,101.84375,100,6.3596875,6.35
2019,2019-02-22,101.240625,100,6.35583333333333,6.35
2019,2019-02-23,92.5023255813954,93.3,6.29430232558139,6.3
2019,2019-02-24,116.73125,90.5,6.43354166666667,6.28
2019,2019-02-25,192.010416666667,187,6.8490625,6.835
2019,2019-02-26,115.604166666667,113,6.476625,6.46
2019,2019-02-27,116.215625,109.5,6.5640625,6.56
2019,2019-02-28,110.916666666667,108.5,6.419375,6.405
2019,2019-03-01,103.367708333333,100.5,6.41270833333333,6.41
2019,2019-03-02,96.559375,95.8,6.32479166666667,6.32
2019,2019-03-03,92.8927083333333,92.9,6.29947916666667,6.3
2019,2019-03-04,98.1979166666667,98.5,6.3375,6.34
2019,2019-03-05,90.2625,92.1,6.31081081081081,6.31
2019,2019-03-06,89.3604166666667,87.2,6.27197916666667,6.26
2019,2019-03-07,87.8375,84,6.34268656716418,6.35
2019,2019-03-08,92.3125,88.95,6.30125,6.285
2019,2019-03-09,88.1510416666667,84.9,6.42375,6.31
2019,2019-03-10,81.5322916666667,80.3,6.20895833333333,6.2
2019,2019-03-11,85.1958333333333,84.1,6.23770833333333,6.23
2019,2019-03-12,93.5177083333333,93.6,6.299375,6.3
2019,2019-03-13,86.6385416666667,87.9,6.2496875,6.26
2019,2019-03-14,88.3614583333333,85.2,6.26208333333333,6.24
2019,2019-03-15,155.083333333333,143,6.66625,6.61
2019,2019-03-16,272.958333333333,261,7.19125,7.15
2019,2019-03-17,193.385416666667,182.5,6.85802083333333,6.815
2019,2019-03-18,141.041666666667,141,6.60020833333333,6.6
2019,2019-03-19,127.416666666667,125,6.5234375,6.51
2019,2019-03-20,122.354166666667,122,6.49395833333333,6.49
2019,2019-03-21,143.71875,142,6.61739583333333,6.61
2019,2019-03-22,249.958333333333,224.5,7.07229166666667,7.005
2019,2019-03-23,261.989583333333,247,7.14270833333333,7.1
2019,2019-03-24,171.354166666667,168,6.7534375,6.74
2019,2019-03-25,181.385416666667,180,6.80385416666667,6.8
2019,2019-03-26,175.020833333333,173,6.773125,6.765
2019,2019-03-27,151.385416666667,150,6.65385416666667,6.645
2019,2019-03-28,145.447916666667,145,6.621875,6.62
